BLOCK_ID,BLOCK_NAME,Group number,YEAR,number of samples,Distance from 187x shoreline,Distance from the year on the 187x-side of change vector,YEAR on the 187x-side of change vector,Era number,reference shoreline?,Average Easting,Average Northing,Change Rates (m/yr),IntervalStart,IntervalEnd,Change Vector,ChgRate (m/yr)
CPc5,~Warrenton (CPc5),129.43,1986.4,42,569,13.60404762,1973.75,12,0,231880.9071,98327.43667,1.1,,,,
CPc5,~Warrenton (CPc5),129.5,1995.8,42,574,4.365714286,1986.637619,13,0,231893.2548,98274.47143,0.5,,,,
CPc5,~Warrenton (CPc5),129.45,1999.5,42,563,-10.87619048,1995.5,14,0,231888.1262,98324.83738,-2.9,,,,
CPc5,~Warrenton (CPc5),129.47,2005.5,43,593,29.99976744,1999.4,15,0,231864.8442,98299.49256,5,,,,
CPc4,~Camp Rilea (CPc4),133.56,-2550,48,-1502,-932.4858333,250,1,0,235079.8458,94438.75875,,,,,
CPc4,~Camp Rilea (CPc4),133.6,250,47,-570,-319.7055319,1700,2,0,234172.183,94228.90957,0.3,,,,
CPc4,~Camp Rilea (CPc4),133.55,1700,47,-250,-250.2674468,1872.851064,3,0,233844.1872,94222.71638,0.2,,,,
CPc4,~Camp Rilea (CPc4),133.59,1873,46,0,NaN,NaN,5,1,233603.05,94158.73717,1.4,1700,1873,250,1.4
CPc4,~Camp Rilea (CPc4),133.59,1926,46,173,173.0373913,1872.956522,8,0,233436.2065,94112.89761,3.3,1873,1926,173,3.3
CPc4,~Camp Rilea (CPc4),133.57,1953.1,46,381,207.9421739,1926,9,0,233226.4,94086.99261,7.7,1926,1953,208,7.7
CPc4,~Camp Rilea (CPc4),133.58,1962.6,45,396,14.99711111,1953.587111,10,0,233208.5044,94100.36889,1.6,1953,1999,83,1.8
CPc4,~Camp Rilea (CPc4),133.58,1973.9,45,448,51.63511111,1962.58,11,0,233158.5467,94087.37778,4.6,1873,1999,464,3.7
CPc4,~Camp Rilea (CPc4),133.54,1986.4,46,448,-0.049130435,1973.75,12,0,233151.2,94116.35087,0,,,,
CPc4,~Camp Rilea (CPc4),133.58,1995.8,45,484,36.90777778,1986.5,13,0,233122.7311,94082.74711,4,,,,
CPc4,~Camp Rilea (CPc4),133.58,1999.5,45,464,-20.304,1995.5,14,0,233142.1911,94088.73622,-5.4,,,,
CPc4,~Camp Rilea (CPc4),133.58,2005.5,45,493,28.38377778,1999.4,15,0,233114.6978,94081.71422,4.7,,,,
CPc3,CPc3,138.08,-2550,52,-1518,-1037.9325,250,1,0,235999.6577,89486.08654,,,,,
CPc3,CPc3,138.04,250,51,-480,-228.4923529,1700,2,0,234967.8882,89382.75373,0.4,,,,
CPc3,CPc3,138,1700,51,-252,-251.8298039,1874,3,0,234735.7765,89398.16196,0.2,,,,
CPc3,CPc3,138,1874,51,0,NaN,NaN,5,1,234482.8255,89391.2698,1.4,1700,1874,252,1.4
CPc3,CPc3,138,1926,51,9,8.731764706,1874,8,0,234474.1431,89390.32314,0.2,1874,1926,9,0.2
CPc3,CPc3,138,1948,51,274,264.9760784,1926,9,0,234210.5608,89363.2749,12,1926,1948,265,12
CPc3,CPc3,138,1962.6,51,272,-1.983137255,1948,10,0,234205.7765,89406.14196,-0.1,1948,1999,83,1.6
CPc3,CPc3,138.04,1973.9,52,331,59.15288462,1962.58,11,0,234152.7327,89353.68577,5.2,1874,1999,357,2.8
CPc3,CPc3,138,1986.4,51,327,-4.199019608,1973.75,12,0,234154.8098,89377.3149,-0.3,,,,
CPc3,CPc3,138.04,1995.8,52,385,58.12730769,1986.5,13,0,234100.0519,89340.9475,6.2,,,,
CPc3,CPc3,138.04,1999.5,49,357,-27.99081633,1995.5,14,0,234129.7286,89337.26878,-7.5,,,,
CPc3,CPc3,138.04,2005.5,52,393,36.55192308,1999.4,15,0,234093.375,89341.68808,6.1,,,,
CPc2,~Delray (CPc2),143,-2550,48,-1604,-1090.243542,250,1,0,236402.6458,84437.58146,,,,,
CPc2,~Delray (CPc2),142.96,250,47,-514,-352.5002128,1700,2,0,235312.5383,84480.84681,0.4,,,,
CPc2,~Delray (CPc2),142.96,1700,47,-161,-161.1312766,1874,3,0,234960.4085,84498.63383,0.2,,,,
CPc2,~Delray (CPc2),143.04,1874,47,0,NaN,NaN,5,1,234798.5894,84423.98383,0.9,1700,1874,161,0.9
CPc2,~Delray (CPc2),143.04,1926,47,-15,NaN,1874,8,0,234814.0723,84423.55702,-0.3,1874,1926,-15,-0.3
CPc2,~Delray (CPc2),143.47,1962.6,32,210,225.396875,1926,10,0,234588.0688,84030.79313,6.2,1926,1962,225,6.2
CPc2,~Delray (CPc2),143.11,1973.9,47,225,14.88489362,1962.58,11,0,234569.8128,84358.68894,1.3,1962,1999,59,1.6
CPc2,~Delray (CPc2),143,1986.4,48,238,13.44395833,1973.75,12,0,234554.5542,84451.78854,1.1,1874,1999,269,2.1
CPc2,~Delray (CPc2),143.04,1995.8,47,298,59.60574468,1986.5,13,0,234496.5383,84417.88362,6.4,,,,
CPc2,~Delray (CPc2),142.98,1999.5,47,269,-28.67531915,1995.5,14,0,234522.7043,84489.99979,-7.6,,,,
CPc2,~Delray (CPc2),143.04,2005.5,47,305,36.09042553,1999.4,15,0,234490.4553,84415.89234,6,,,,
CPc1,~Seaside (CPc1),147.94,1874,36,0,NaN,NaN,5,1,234326.1417,79181.1425,,,,,
CPc1,~Seaside (CPc1),147.94,1926,36,-17,-17.32944444,1874,8,0,234343.1528,79178.24778,-0.3,,,,
CPc1,~Seaside (CPc1),147.96,1962.6,26,138,155.1211538,1926,10,0,234206.4808,79243.84423,4.2,1874,1926,-17,-0.3
CPc1,~Seaside (CPc1),147.77,1973.9,39,154,16.04794872,1962.58,11,0,234226.6205,79431.99256,1.4,1926,1962.6,155,4.2
CPc1,~Seaside (CPc1),147.5,1986.4,48,113,-40.46583333,1973.75,12,0,234330.5833,79723.28271,-3.2,1962,1999,33,0.9
CPc1,~Seaside (CPc1),147.54,1995.8,48,188,74.51333333,1986.5,13,0,234235.5771,79652.66979,8,1874,1999,170,1.4
CPc1,~Seaside (CPc1),147.45,1999.5,49,170,-17.49918367,1995.5,14,0,234284.4061,79755.57347,-4.7,,,,
CPc1,~Seaside (CPc1),147.6,2005.5,43,199,28.77,1999.4,15,0,234205.9163,79611.69209,4.8,,,,
